Codice;Descr;NostroPrezzo;MigliorPrezzo;Posizione;Differenza;PrezzoPer1Pos;PrezzoPiattOffSpec;PrezzoAcq;PrezzoMinimo;PrezzoMassimo;RicaricoCalcolato;Nota;PrezzoRicalcolato;MargineLimite;TipoRegola;Ranking;IdArtico;IdTyre24;IdOfferteSpec
1507018-MIC-348562            ;MICHELIN WILD 150/70 R18 70 R TL/TT                                                                 ;137,98;115,32;22.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;620974              ;null
1507018-MIC-966727            ;MIC. 150/70 R18 70 V TL/TT ANAKEE ADVENTURE                                                         ;145,33;116,46;23.(1Pz)  ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;654059              ;null
1507018-MIT-26104030          ;MITAS 150/70 R18 70 V TL/TT TERRAFORCE                                                              ;104,61;82,67;19.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;729804              ;null
1507018-MIT-26108977          ;MITAS END+ 150/70 B18 70 H TL/TT                                                                    ;103,82;79,13;20.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;825214              ;null
1507018-MIT-70001012          ;MITAS END-TR 150/70 B18 70 H TL/TT                                                                  ;111,6;89,04;15.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;825309              ;null
1507018-MIT-70001029          ;MITAS TR-XT+ 150/70 B18 70 T TL/TT                                                                  ;104,15;89,31;10.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;825349              ;null
1507018-MIT-70001188          ;MITAS END+ 150/70 B18 70 H TL/TT                                                                    ;120,54;90,41;18.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;825227              ;null
1507018-MIT-70001217          ;MITAS TRA-XT 150/70 B18 70 T TL/TT                                                                  ;121,53;93,03;19.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;848250              ;null
1507018-MIT-70001218          ;MITAS TRA-XT 150/70 B18 70 T TL/TT                                                                  ;106,6;83,09;13.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;848249              ;null
1507018-MIT-MIT70000          ;MITAS FINE+ 150/70 B18 70 T TL/TT                                                                   ;102,14;81,36;19.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;823846              ;null
1507018-PIR-1421900           ;PIR. 150/70 R18 70 V TL MT90 A/T                                                                    ;148,03;108,13;23.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;26631               ;null
1507018-PIR-4187300           ;PIRELLI RALLY 150/70 R18 70 R TL                                                                    ;127,84;99,13;21.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;783611              ;null
1507018-PIR-4256100           ;PIRELLI TRAIL3 150/70ZR18 70W TL                                                                    ;165,11;124,26;37.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;835781              ;null
1508010-MIT-MIT70000          ;MITAS MC17 150/80 -10 65 L TL                                                                       ;44,54;33,1;19.(1Pz)  ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;778878              ;null
1508010-VEE-SP113TB           ;VEE. 150/80 -10 65 L TL VRM318                                                                      ;39,18;35,99;2.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;276598              ;null
1508015-BRI-6127              ;BRI. 150/80 -15 70 H TL EXEDRA MAX R                                                                ;132,14;100,63;29.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;244170              ;null
1508015-BRI-6138              ;BRI. 150/80 -15 70 H TT EXEDRA MAX R                                                                ;128,11;98,88;14.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;319342              ;null
1508015-DUN-651137            ;DUN. 150/80- 15 70 V TL MC K555                                                                     ;138,62;108,82;14.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;9920                ;null
1508016-AVO-640519            ;AVON CHROME 150/80 B16 77 V TL                                                                      ;175,79;127,42;15.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;853805              ;null
1508016-BRI-17409             ;BRI. 150/80 -16 71 V TL BT46 REAR                                                                   ;137,65;104,85;23.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;697708              ;null
1508016-BRI-6075              ;BRI. 150/80 R16 71 V TL EXEDRA MAX                                                                  ;166,77;123,99;25.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;835173              ;null
1508016-BRI-6116              ;BRI. 150/80 -16 71 H TL EXEDRA MAX F                                                                ;145,08;110,56;26.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;244143              ;null
1508016-BRI-9783              ;BRI. 150/80 B16 77 H TL BATTLECRUISE H50                                                            ;156,46;119,53;23.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;383390              ;null
1508016-CON-0240307           ;CON. 150/80 B16 77 H TL LEGEND WW                                                                   ;164,15;135,62;14.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;376830              ;null
