Articolo__r:Product2:External_Id__c;Codice_fornitore__c;Descrizione_fornitore__c;Ranking_fornitore__c;Disponibile__c;Impegnato__c;In_spedizione__c;Conto_deposito_fornitore_Distribuzione__c;Conto_deposito_fornitore_pdv__c;Costo__c;Prezzo_di_listino__c;Prezzo_PDV__c;PAC__c
525590;UNI;Univergomma;3;26;0;0;0;0;93.37;184.50;176.55;89.48
529968;UNI;Univergomma;4;30;0;0;0;0;160.89;316.00;273.35;162.10
517214;UNI;Univergomma;5;5;0;0;0;0;141.05;375.00;243.95;138.00
516169;UNI;Univergomma;4;8;0;0;0;0;156.48;313.50;272.56;161.45
512464;UNI;Univergomma;1;2;0;0;0;0;108.52;341.00;213.53;132.33
524829;UNI;Univergomma;2;5;0;0;0;0;113.41;247.00;213.9;132.63
516469;UNI;Univergomma;2;4;0;0;0;0;99.74;193.00;163.96;91.70
48509;UNI;Univergomma;4;3;0;0;0;0;118.96;214.00;192.29;114.92
508176;UNI;Univergomma;1;2;0;0;0;0;116.71;220.00;207.49;114.84
506781;UNI;Univergomma;2;4;0;0;0;0;107.00;207.50;0;0.00
508429;UNI;Univergomma;4;12;0;0;0;0;148.09;298.00;238.96;147.42
529325;UNI;Univergomma;4;12;0;0;0;0;139.96;257.00;211;117.71
75344;UNI;Univergomma;4;17;0;0;0;0;115.98;309.00;213.57;119.82
94962;UNI;Univergomma;2;12;0;0;0;0;134.02;359.00;237.42;139.37
506394;UNI;Univergomma;3;15;0;0;0;0;118.80;232.50;0;0.00
97711;UNI;Univergomma;2;3;0;0;0;0;146.51;288.00;0;0.00
81099;UNI;Univergomma;3;19;4;0;0;0;93.62;178.00;178.79;84.59
81099;UNI;Univergomma;3;19;4;0;0;0;93.62;178.00;178.79;84.59
81099;UNI;Univergomma;3;19;0;0;0;0;93.62;178.00;178.79;84.59
81099;UNI;Univergomma;3;19;0;0;0;0;93.62;178.00;178.79;84.59
521367;UNI;Univergomma;5;1;0;0;0;0;109.37;281.00;200.83;102.66
518630;UNI;Univergomma;3;30;0;0;0;0;108.26;204.00;173.1;93.44
516147;UNI;Univergomma;4;8;0;0;0;0;124.19;242.50;205.46;119.96
520619;UNI;Univergomma;4;8;0;0;0;0;103.94;185.00;185.19;96.56
521159;UNI;Univergomma;3;12;0;0;0;0;117.44;183.00;194.02;103.80
103821;UNI;Univergomma;1;1;0;0;0;0;98.97;258.00;0;0.00
520024;UNI;Univergomma;2;3;0;0;0;0;142.41;258.00;237.91;118.16
516747;UNI;Univergomma;1;1;0;0;0;0;84.70;179.50;0;0.00
66565;UNI;Univergomma;3;22;0;0;0;0;156.58;311.00;246.8;153.85
529319;UNI;Univergomma;1;13;0;0;0;0;113.64;203.00;180.81;92.97
512012;UNI;Univergomma;2;12;0;0;0;0;246.68;488.00;372.96;219.11
66530;UNI;Univergomma;6;2;0;0;0;0;75.54;143.50;129.97;70.99
521445;UNI;Univergomma;1;2;0;0;0;0;104.24;277.00;198.31;107.31
521430;UNI;Univergomma;1;1;0;0;0;0;99.45;302.00;210.23;117.08
521415;UNI;Univergomma;4;30;0;0;0;0;70.87;176.00;134.83;67.82
525968;UNI;Univergomma;3;6;0;0;0;0;200.91;548.00;350.93;201.05
526010;UNI;Univergomma;2;2;0;0;0;0;158.16;418.00;263.67;154.17
525900;UNI;Univergomma;3;2;0;0;0;0;176.80;469.00;314.68;171.34
529362;UNI;Univergomma;3;30;0;0;0;0;120.48;224.00;192.55;102.59
520080;UNI;Univergomma;3;1;0;0;0;0;260.09;578.00;0;0.00
520940;UNI;Univergomma;7;24;0;0;0;0;99.39;201.00;149.37;93.02
529484;UNI;Univergomma;5;14;0;0;0;0;52.04;97.00;91.5;46.10
529523;UNI;Univergomma;5;12;0;0;0;0;124.53;262.50;200.31;121.49
529388;UNI;Univergomma;3;4;0;0;0;0;197.23;532.00;343.58;195.03
529324;UNI;Univergomma;2;5;0;0;0;0;150.39;262.00;221.99;120.00
65350;UNI;Univergomma;4;30;0;0;0;0;48.87;99.00;97.01;42.57
103822;UNI;Univergomma;3;17;0;0;0;0;108.38;284.00;202.2;103.78
103823;UNI;Univergomma;5;28;0;0;0;0;111.56;293.00;206.33;107.17
520825;UNI;Univergomma;4;20;0;0;0;0;137.03;269.00;231.55;127.84
522744;UNI;Univergomma;1;1;0;0;0;0;111.41;218.00;193.67;103.51
66484;UNI;Univergomma;1;4;0;0;0;0;138.52;269.00;0;0.00
528603;UNI;Univergomma;1;8;0;0;0;0;110.24;216.50;192.82;102.81
524655;UNI;Univergomma;5;13;0;0;0;0;104.86;184.00;184.57;96.05
59888;UNI;Univergomma;3;24;0;0;0;0;102.23;277.00;193.22;107.31
524664;UNI;Univergomma;6;8;0;0;0;0;106.04;194.00;192.04;95.45
66080;UNI;Univergomma;2;2;0;0;0;0;125.72;255.00;218.68;117.29
103824;UNI;Univergomma;5;1;0;0;0;0;118.19;304.00;211.37;111.30
58990;UNI;Univergomma;4;4;0;0;0;0;114.36;213.00;219.83;104.79
507430;UNI;Univergomma;3;21;0;0;0;0;123.84;336.00;242.46;123.34
517166;UNI;Univergomma;4;4;0;0;0;0;92.79;254.00;188.44;92.50
49384;UNI;Univergomma;6;30;0;0;0;0;109.11;205.00;198.62;100.85
521377;UNI;Univergomma;1;7;0;0;0;0;116.99;343.00;229.27;125.97
525883;UNI;Univergomma;6;30;0;0;0;0;113.97;293.00;206.33;107.17
66487;UNI;Univergomma;2;2;0;0;0;0;132.39;266.50;234.83;137.25
511923;UNI;Univergomma;6;30;0;0;0;0;121.31;229.00;195.34;104.88
517169;UNI;Univergomma;2;2;0;0;0;0;136.99;364.00;255.29;133.86
521798;UNI;Univergomma;1;2;0;0;0;0;104.30;210.50;0;0.00
507633;UNI;Univergomma;3;5;0;0;0;0;205.67;519.00;326.39;192.14
508167;UNI;Univergomma;2;23;0;0;0;0;137.28;256.00;229.25;125.95
508530;UNI;Univergomma;6;4;0;0;0;0;124.66;243.00;211.95;111.77
59584;UNI;Univergomma;4;1;0;0;0;0;157.19;386.00;265.39;142.14
547772;UNI;Univergomma;1;1;0;0;0;0;43.49;122.32;0;0.00
521468;UNI;Univergomma;3;10;0;0;0;0;202.44;560.00;345.21;207.56
525596;UNI;Univergomma;4;22;0;0;0;0;113.85;224.00;208.13;108.64
521897;UNI;Univergomma;7;2;0;0;0;0;159.31;311.50;266.71;143.22
67654;UNI;Univergomma;4;12;0;0;0;0;136.81;271.00;249.11;128.79
98277;UNI;Univergomma;1;4;0;0;0;0;141.56;301.50;0;0.00
